model_id,dataset,method_condition,analysis_tier,rows,valid_rate
aliyun_qwen36,exp2,debate,confirmatory_full_cell,1008,1.0
aliyun_qwen36,exp2,standard,confirmatory_full_cell,1008,1.0
aliyun_qwen36,exp3,debate,confirmatory_full_cell,1008,1.0
aliyun_qwen36,exp3,standard,confirmatory_full_cell,1008,1.0
deepseek_chat,exp2,debate,confirmatory_full_cell,1008,1.0
deepseek_chat,exp2,standard,confirmatory_full_cell,1008,1.0
deepseek_chat,exp3,debate,confirmatory_full_cell,1008,1.0
deepseek_chat,exp3,standard,confirmatory_full_cell,1008,1.0
deepseek_chat,sycophancy,standard,confirmatory_full_cell,1152,1.0
deepseek_v4flash,exp2,anti_sycophancy_truth_first,confirmatory_full_cell,1008,1.0
deepseek_v4flash,exp2,counterfactual_consistency_vote,exploratory_partial_or_low_valid,1008,0.3482142857142857
deepseek_v4flash,exp2,debate,confirmatory_full_cell,1008,1.0
deepseek_v4flash,exp2,standard,confirmatory_full_cell,1008,1.0
deepseek_v4flash,exp3,anti_sycophancy_truth_first,confirmatory_full_cell,1008,1.0
deepseek_v4flash,exp3,counterfactual_consistency_vote,exploratory_partial_or_low_valid,1008,0.000992063492063492
deepseek_v4flash,exp3,debate,confirmatory_full_cell,1008,1.0
deepseek_v4flash,exp3,standard,confirmatory_full_cell,1008,1.0
deepseek_v4flash,sycophancy,anti_sycophancy_truth_first,confirmatory_full_cell,1152,1.0
deepseek_v4flash,sycophancy,counterfactual_consistency_vote,exploratory_partial_or_low_valid,1152,0.2126736111111111
deepseek_v4flash,sycophancy,debate,confirmatory_full_cell,1152,1.0
deepseek_v4flash,sycophancy,standard,confirmatory_full_cell,1152,1.0
deepseek_v4pro,exp2,debate,exploratory_partial_or_low_valid,17,0.0
deepseek_v4pro,exp2,standard,exploratory_partial_or_low_valid,1008,0.0
gemini25_flash,exp2,debate,confirmatory_full_cell,1008,0.9990079365079365
gemini25_flash,exp2,standard,confirmatory_full_cell,1008,1.0
gemini25_flash,exp3,debate,confirmatory_full_cell,1008,1.0
gemini25_flash,exp3,standard,confirmatory_full_cell,1008,1.0
gemma4_31b,exp2,debate,confirmatory_full_cell,1008,1.0
gemma4_31b,exp2,standard,confirmatory_full_cell,1008,1.0
gemma4_31b,exp3,debate,confirmatory_full_cell,1008,1.0
gemma4_31b,exp3,standard,confirmatory_full_cell,1008,1.0
gemma4_e4b_base,exp2,counterfactual_consistency_vote,confirmatory_full_cell,1008,1.0
gemma4_e4b_base,exp2,standard,confirmatory_full_cell,1008,1.0
gemma4_e4b_base,exp3,counterfactual_consistency_vote,confirmatory_full_cell,1008,1.0
gemma4_e4b_base,exp3,standard,confirmatory_full_cell,1008,1.0
qwen3_32b_awq,exp2,debate,confirmatory_full_cell,1008,0.9990079365079365
qwen3_32b_awq,exp2,standard,confirmatory_full_cell,1008,1.0
qwen3_4b_base,exp2,counterfactual_consistency_vote,confirmatory_full_cell,1008,1.0
qwen3_4b_base,exp2,standard,confirmatory_full_cell,1008,1.0
qwen3_4b_base,exp3,counterfactual_consistency_vote,confirmatory_full_cell,1008,1.0
qwen3_4b_base,exp3,standard,confirmatory_full_cell,1008,1.0
qwen3_8b_base,exp2,counterfactual_consistency_vote,confirmatory_full_cell,1008,1.0
qwen3_8b_base,exp2,standard,confirmatory_full_cell,1008,1.0
qwen3_8b_base,exp3,counterfactual_consistency_vote,confirmatory_full_cell,1008,1.0
qwen3_8b_base,exp3,standard,confirmatory_full_cell,1008,1.0
zhipu_glm51,exp2,debate,exploratory_partial_or_low_valid,17,1.0
zhipu_glm51,exp2,standard,confirmatory_full_cell,1008,1.0
zhipu_glm51,exp3,debate,exploratory_partial_or_low_valid,1008,0.9136904761904762
zhipu_glm51,exp3,standard,confirmatory_full_cell,1008,1.0
