model_id,dataset,method_condition,trials,valid_rate,median_latency_seconds,median_prompt_tokens,median_completion_tokens,median_total_tokens,moral_items,yes_no_bias_abs,omission_bias_abs,moral_bias_mean,sycophancy_accuracy,aligned_accuracy,conflict_accuracy,wrong_belief_agreement_rate,standard_moral_bias_mean,standard_yes_no_bias_abs,standard_omission_bias_abs,standard_sycophancy_accuracy,standard_wrong_belief_agreement_rate,standard_latency_seconds,standard_total_tokens,moral_bias_reduction,moral_bias_reduction_pct,yes_no_bias_reduction,omission_bias_reduction,sycophancy_accuracy_gain,wrong_belief_agreement_reduction,wrong_belief_reduction_pct,latency_multiplier_vs_standard,token_multiplier_vs_standard
deepseek_chat,exp2,anti_sycophancy_truth_first,144,1.0,1.371847099999286,539.5,36.0,573.5,6.0,0.5,0.2708333333333333,0.3854166666666667,,,,,0.6666666666666666,0.6666666666666666,0.6666666666666666,,,0.9110540999990916,495.5,0.28124999999999994,0.42187499999999994,0.16666666666666663,0.3958333333333333,,,,1.5057800628970923,1.1574167507568114
deepseek_chat,exp2,constitutional_critic,144,1.0,2.4354038500005117,1088.0,61.5,1148.5,6.0,0.5625,0.3958333333333333,0.4791666666666667,,,,,0.6666666666666666,0.6666666666666666,0.6666666666666666,,,0.9110540999990916,495.5,0.18749999999999994,0.28124999999999994,0.10416666666666663,0.2708333333333333,,,,2.6731714944292992,2.317860746720484
deepseek_chat,exp2,counterfactual_consistency_vote,144,1.0,2.5253006999992067,1529.0,12.0,1541.0,6.0,0.0,0.0,0.0,,,,,0.6666666666666666,0.6666666666666666,0.6666666666666666,,,0.9110540999990916,495.5,0.6666666666666666,1.0,0.6666666666666666,0.6666666666666666,,,,2.771844943128761,3.109989909182644
deepseek_chat,exp2,critique_revise,144,1.0,5.039150449998488,1682.5,185.0,1861.0,6.0,0.3958333333333333,0.10416666666666667,0.25,,,,,0.6666666666666666,0.6666666666666666,0.6666666666666666,,,0.9110540999990916,495.5,0.41666666666666663,0.625,0.2708333333333333,0.5625,,,,5.5311209839278614,3.7558022199798184
deepseek_chat,exp2,debate,144,1.0,7.76374135000151,2588.0,277.0,2870.0,6.0,0.4166666666666667,0.4375,0.4270833333333333,,,,,0.6666666666666666,0.6666666666666666,0.6666666666666666,,,0.9110540999990916,495.5,0.23958333333333331,0.359375,0.24999999999999994,0.22916666666666663,,,,8.521712761085485,5.792129162462159
deepseek_chat,exp2,frame_invariant_rationale,144,1.0,1.3889175999993313,535.5,34.0,568.0,6.0,0.6041666666666666,0.5208333333333334,0.5625,,,,,0.6666666666666666,0.6666666666666666,0.6666666666666666,,,0.9110540999990916,495.5,0.10416666666666663,0.15624999999999994,0.0625,0.14583333333333326,,,,1.5245171499702554,1.1463168516649849
deepseek_chat,exp2,self_debias_reprompt,144,1.0,2.4916149000018777,1061.5,67.0,1126.5,6.0,0.5833333333333334,0.5625,0.5729166666666666,,,,,0.6666666666666666,0.6666666666666666,0.6666666666666666,,,0.9110540999990916,495.5,0.09375,0.140625,0.08333333333333326,0.10416666666666663,,,,2.734870410005687,2.2734611503531785
deepseek_chat,exp2,standard,144,1.0,0.9110540999990916,491.5,4.0,495.5,6.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,,,,,0.6666666666666666,0.6666666666666666,0.6666666666666666,,,0.9110540999990916,495.5,0.0,0.0,0.0,0.0,,,,1.0,1.0
deepseek_chat,exp3,anti_sycophancy_truth_first,144,1.0,1.2175438500016753,497.0,38.0,533.5,6.0,0.2916666666666667,0.25,0.2708333333333333,,,,,0.8229166666666666,0.8958333333333334,0.75,,,0.7961966999992001,453.0,0.5520833333333333,0.670886075949367,0.6041666666666667,0.5,,,,1.52919981959596,1.1777041942604856
deepseek_chat,exp3,constitutional_critic,144,1.0,2.4700912999942375,1004.0,70.0,1068.0,6.0,0.375,0.20833333333333334,0.2916666666666667,,,,,0.8229166666666666,0.8958333333333334,0.75,,,0.7961966999992001,453.0,0.53125,0.6455696202531646,0.5208333333333334,0.5416666666666666,,,,3.102363147193048,2.357615894039735
