model_id,bias_type,dataset,method_condition,analysis_tier,trial_rows,scope,score_rows
aliyun_qwen36,moral_omission_bias,exp2,debate,full,672.0,confirmatory,6.0
aliyun_qwen36,moral_omission_bias,exp2,standard,full,672.0,confirmatory,6.0
aliyun_qwen36,moral_omission_bias,exp3,debate,full,672.0,confirmatory,6.0
aliyun_qwen36,moral_omission_bias,exp3,standard,full,672.0,confirmatory,6.0
aliyun_qwen36,moral_yes_no_bias,exp2,debate,full,672.0,confirmatory,6.0
aliyun_qwen36,moral_yes_no_bias,exp2,standard,full,672.0,confirmatory,6.0
aliyun_qwen36,moral_yes_no_bias,exp3,debate,full,672.0,confirmatory,6.0
aliyun_qwen36,moral_yes_no_bias,exp3,standard,full,672.0,confirmatory,6.0
deepseek_chat,moral_omission_bias,exp2,critique_revise,full,672.0,confirmatory,6.0
deepseek_chat,moral_omission_bias,exp2,debate,full,672.0,confirmatory,6.0
deepseek_chat,moral_omission_bias,exp2,standard,full,672.0,confirmatory,6.0
deepseek_chat,moral_omission_bias,exp3,critique_revise,full,672.0,confirmatory,6.0
deepseek_chat,moral_omission_bias,exp3,debate,full,672.0,confirmatory,6.0
deepseek_chat,moral_omission_bias,exp3,standard,full,672.0,confirmatory,6.0
deepseek_chat,moral_yes_no_bias,exp2,critique_revise,full,672.0,confirmatory,6.0
deepseek_chat,moral_yes_no_bias,exp2,debate,full,672.0,confirmatory,6.0
deepseek_chat,moral_yes_no_bias,exp2,standard,full,672.0,confirmatory,6.0
deepseek_chat,moral_yes_no_bias,exp3,critique_revise,full,672.0,confirmatory,6.0
deepseek_chat,moral_yes_no_bias,exp3,debate,full,672.0,confirmatory,6.0
deepseek_chat,moral_yes_no_bias,exp3,standard,full,672.0,confirmatory,6.0
deepseek_chat,sycophancy_wrong_belief_agreement,sycophancy,critique_revise,full,576.0,confirmatory,1.0
deepseek_chat,sycophancy_wrong_belief_agreement,sycophancy,standard,full,576.0,confirmatory,1.0
deepseek_v4flash,moral_omission_bias,exp2,critique_revise,full,672.0,confirmatory,6.0
deepseek_v4flash,moral_omission_bias,exp2,critique_revise,full,672.0,smoke,2.0
deepseek_v4flash,moral_omission_bias,exp2,critique_revise,smoke,8.0,confirmatory,6.0
deepseek_v4flash,moral_omission_bias,exp2,critique_revise,smoke,8.0,smoke,2.0
deepseek_v4flash,moral_omission_bias,exp2,debate,full,672.0,confirmatory,6.0
deepseek_v4flash,moral_omission_bias,exp2,debate,full,672.0,smoke,2.0
deepseek_v4flash,moral_omission_bias,exp2,debate,smoke,8.0,confirmatory,6.0
deepseek_v4flash,moral_omission_bias,exp2,debate,smoke,8.0,smoke,2.0
deepseek_v4flash,moral_omission_bias,exp2,standard,full,672.0,confirmatory,6.0
deepseek_v4flash,moral_omission_bias,exp2,standard,full,672.0,smoke,2.0
deepseek_v4flash,moral_omission_bias,exp2,standard,smoke,8.0,confirmatory,6.0
deepseek_v4flash,moral_omission_bias,exp2,standard,smoke,8.0,smoke,2.0
deepseek_v4flash,moral_omission_bias,exp3,critique_revise,full,672.0,confirmatory,6.0
deepseek_v4flash,moral_omission_bias,exp3,debate,full,672.0,confirmatory,6.0
deepseek_v4flash,moral_omission_bias,exp3,standard,full,672.0,confirmatory,6.0
deepseek_v4flash,moral_yes_no_bias,exp2,critique_revise,full,672.0,confirmatory,6.0
deepseek_v4flash,moral_yes_no_bias,exp2,critique_revise,full,672.0,smoke,2.0
deepseek_v4flash,moral_yes_no_bias,exp2,critique_revise,smoke,8.0,confirmatory,6.0
deepseek_v4flash,moral_yes_no_bias,exp2,critique_revise,smoke,8.0,smoke,2.0
deepseek_v4flash,moral_yes_no_bias,exp2,debate,full,672.0,confirmatory,6.0
deepseek_v4flash,moral_yes_no_bias,exp2,debate,full,672.0,smoke,2.0
deepseek_v4flash,moral_yes_no_bias,exp2,debate,smoke,8.0,confirmatory,6.0
