model_id,model_family,dataset,method_condition,n_item_families,yes_no_bias_abs,yes_no_ci_low,yes_no_ci_high,omission_bias_abs,omission_ci_low,omission_ci_high,moral_bias_mean,moral_bias_ci_low,moral_bias_ci_high
aliyun_qwen36,Qwen,exp2,debate,6,0.044642857142857144,0.0,0.12797619047619047,0.28571428571428575,0.0059523809523809685,0.6399553571428571,0.16517857142857142,0.0029761904761904843,0.3288690476190476
aliyun_qwen36,Qwen,exp2,standard,6,0.15476190476190477,0.0,0.46428571428571425,0.32142857142857145,0.0,0.6547619047619048,0.2380952380952381,0.0,0.5476190476190476
aliyun_qwen36,Qwen,exp3,debate,6,0.24404761904761904,0.03869047619047621,0.5537202380952378,0.22023809523809523,0.07440476190476189,0.4136904761904761,0.23214285714285712,0.10267857142857144,0.36175595238095226
aliyun_qwen36,Qwen,exp3,standard,6,0.5565476190476191,0.16964285714285712,0.8898809523809524,0.5,0.16666666666666666,0.8333333333333334,0.5282738095238095,0.22321428571428573,0.8333333333333334
deepseek_chat,DeepSeek,exp2,debate,6,0.19642857142857142,0.1011904761904762,0.2797619047619047,0.25595238095238093,0.07738095238095238,0.4166666666666667,0.22619047619047614,0.12202380952380952,0.3214285714285714
deepseek_chat,DeepSeek,exp2,standard,6,0.4226190476190476,0.08928571428571429,0.7559523809523809,0.5297619047619048,0.16666666666666666,0.8333333333333334,0.4761904761904762,0.16666666666666666,0.7604166666666666
deepseek_chat,DeepSeek,exp3,debate,6,0.375,0.1725446428571429,0.5805059523809523,0.4672619047619047,0.22909226190476195,0.6815476190476191,0.42113095238095233,0.23958333333333334,0.6026785714285714
deepseek_chat,DeepSeek,exp3,standard,6,0.8333333333333334,0.5,1.0,0.6666666666666666,0.3333333333333333,1.0,0.75,0.4166666666666667,1.0
deepseek_v4flash,DeepSeek,exp2,anti_sycophancy_truth_first,6,0.4672619047619047,0.13392857142857142,0.7857142857142857,0.2648809523809524,0.011904761904761899,0.5744047619047619,0.3660714285714286,0.0744047619047619,0.6800967261904762
deepseek_v4flash,DeepSeek,exp2,debate,6,0.3273809523809524,0.20535714285714288,0.4673363095238095,0.40178571428571425,0.2291666666666667,0.5505952380952381,0.3645833333333333,0.2290178571428571,0.4970610119047618
deepseek_v4flash,DeepSeek,exp2,standard,6,0.6666666666666666,0.3333333333333333,1.0,0.6666666666666666,0.3333333333333333,1.0,0.6666666666666666,0.3333333333333333,1.0
deepseek_v4flash,DeepSeek,exp3,anti_sycophancy_truth_first,6,0.29464285714285715,0.0625,0.610267857142857,0.255952380952381,0.041666666666666664,0.5424107142857135,0.27529761904761907,0.07142857142857142,0.5744047619047619
deepseek_v4flash,DeepSeek,exp3,debate,6,0.2351190476190476,0.10409226190476191,0.4166666666666667,0.16369047619047616,0.09523809523809525,0.25595238095238093,0.19940476190476195,0.1160714285714286,0.32310267857142844
deepseek_v4flash,DeepSeek,exp3,standard,6,0.8511904761904763,0.7261904761904763,0.9583333333333334,0.6755952380952381,0.5267113095238095,0.8333333333333334,0.7633928571428571,0.6845238095238096,0.8705729166666667
gemini25_flash,Gemini/Gemma,exp2,debate,6,0.1783008658008658,0.01785714285714285,0.4724025974025974,0.10714285714285719,0.014880952380952403,0.2738095238095239,0.1427218614718615,0.02083333333333337,0.29156858766233745
gemini25_flash,Gemini/Gemma,exp2,standard,6,0.03571428571428572,0.0,0.10714285714285715,0.2023809523809524,0.0,0.5357142857142857,0.11904761904761907,0.01785714285714286,0.26785714285714285
gemini25_flash,Gemini/Gemma,exp3,debate,6,0.2886904761904762,0.06845238095238096,0.5417410714285715,0.25,0.06547619047619047,0.44047619047619047,0.2693452380952381,0.06696428571428571,0.48065476190476186
gemini25_flash,Gemini/Gemma,exp3,standard,6,0.8244047619047619,0.705282738095238,0.9434523809523809,0.5357142857142857,0.24702380952380953,0.8035714285714285,0.6800595238095238,0.4923735119047618,0.8482142857142857
gemma4_31b,Gemini/Gemma,exp2,debate,6,0.01190476190476191,0.002976190476190476,0.020907738095238052,0.21428571428571427,0.014880952380952384,0.5208333333333334,0.1130952380952381,0.010416666666666666,0.2663690476190476
gemma4_31b,Gemini/Gemma,exp2,standard,6,0.16666666666666666,0.0,0.5,0.16666666666666666,0.0,0.5,0.16666666666666666,0.0,0.3333333333333333
gemma4_31b,Gemini/Gemma,exp3,debate,6,0.20238095238095236,0.014880952380952378,0.5327380952380952,0.4761904761904762,0.14285714285714288,0.8333333333333334,0.33928571428571425,0.0921875,0.6666666666666666
gemma4_31b,Gemini/Gemma,exp3,standard,6,0.16666666666666666,0.0,0.5,0.5,0.16666666666666666,0.8333333333333334,0.3333333333333333,0.08333333333333333,0.6666666666666666
gemma4_e4b_base,Gemini/Gemma,exp2,counterfactual_consistency_vote,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gemma4_e4b_base,Gemini/Gemma,exp2,standard,6,0.6666666666666666,0.3333333333333333,1.0,0.8869047619047619,0.6607142857142856,1.0,0.7767857142857143,0.4970238095238095,1.0
gemma4_e4b_base,Gemini/Gemma,exp3,counterfactual_consistency_vote,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gemma4_e4b_base,Gemini/Gemma,exp3,standard,6,0.8809523809523809,0.6428571428571428,1.0,0.5476190476190476,0.16666666666666666,0.8809523809523809,0.7142857142857143,0.47589285714285706,0.9166666666666666
qwen3_32b_awq,Qwen,exp2,debate,6,0.3273809523809524,0.15476190476190474,0.5059523809523809,0.22321428571428573,0.07738095238095238,0.3958333333333333,0.27529761904761907,0.12946428571428573,0.4345238095238095
qwen3_32b_awq,Qwen,exp2,standard,6,0.3601190476190476,0.026785714285714288,0.7202380952380952,0.026785714285714288,0.0,0.08035714285714286,0.19345238095238093,0.026785714285714288,0.38690476190476186
qwen3_4b_base,Qwen,exp2,counterfactual_consistency_vote,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
qwen3_4b_base,Qwen,exp2,standard,6,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
qwen3_4b_base,Qwen,exp3,counterfactual_consistency_vote,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
qwen3_4b_base,Qwen,exp3,standard,6,0.8898809523809524,0.6696428571428572,1.0,0.8898809523809524,0.6696428571428572,1.0,0.8898809523809524,0.6696428571428572,1.0
qwen3_8b_base,Qwen,exp2,counterfactual_consistency_vote,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
qwen3_8b_base,Qwen,exp2,standard,6,1.0,1.0,1.0,0.8333333333333334,0.5,1.0,0.9166666666666666,0.75,1.0
qwen3_8b_base,Qwen,exp3,counterfactual_consistency_vote,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
qwen3_8b_base,Qwen,exp3,standard,6,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
zhipu_glm51,GLM,exp2,standard,6,0.0,0.0,0.0,0.16666666666666666,0.0,0.5,0.08333333333333333,0.0,0.25
zhipu_glm51,GLM,exp3,standard,6,0.7261904761904763,0.494047619047619,0.9434523809523809,0.8333333333333334,0.5,1.0,0.7797619047619048,0.4970238095238095,0.9717261904761904
