model_id,yes_no_gap,omission_gap,moral_bias_mean,exp2_moral_bias,exp3_moral_bias,sycophancy_wrong_belief,structured_cr_wrong_belief,polarity_gap_abs,critique_revise_reduction,debate_reduction,provider_family,model_line,variant_type,deployment,openness,size_class,training_state,reasoning_or_speed_profile,cost_tier,feature_coverage,baseline_moral_bias_mean,yes_no_gap_confirmatory,omission_gap_confirmatory,cross_dataset_stability,method_sensitivity_sd,debate_reduction_confirmatory,latency_multiplier_debate,token_multiplier_debate,sycophancy_wrong_belief_rate,sycophancy_accuracy,anti_sycophancy_truth_first_reduction,counterfactual_consistency_vote_reduction,latency_multiplier_counterfactual,token_multiplier_counterfactual,model_family,provider,open_or_closed,local_or_api,approx_size,training_stage,best_value_score
aliyun_qwen36,0.3556547619047618,0.4107142857142857,0.3831845238095238,0.2380952380952381,0.5282738095238095,,,,,0.1845238095238095,qwen,qwen3.6,flash_api,api,closed_or_hosted,large_unknown,api_aligned,fast_commercial,low,0.6,0.3831845238095238,0.3556547619047618,0.4107142857142857,0.7098214285714286,0.1304780370046606,0.1845238095238094,,,,,,,,,Qwen,Qwen,closed_or_api,api,unknown,unknown,
deepseek_chat,0.6279761904761905,0.5982142857142857,0.6130952380952381,0.4761904761904762,0.75,0.125,,,0.3333333333333333,0.2894345238095238,deepseek,deepseek-chat,chat_api,api,closed_or_hosted,large_unknown,api_aligned,general_commercial,low,0.8,0.6130952380952381,0.6279761904761905,0.5982142857142857,0.7261904761904763,0.2046611144952136,0.2894345238095238,,,0.125,0.90625,,,,,DeepSeek,DeepSeek,closed_or_api,api,unknown,unknown,
deepseek_v4flash,0.7589285714285714,0.6711309523809523,0.7150297619047619,0.6666666666666666,0.7633928571428572,,,0.0,0.4062499999999999,0.3010010822510822,deepseek,deepseek-v4,flash_api,api,closed_or_hosted,large_unknown,api_aligned,fast_commercial,low,0.8,0.7150297619047619,0.7589285714285714,0.6711309523809523,0.9032738095238096,0.2396264626466139,0.4330357142857142,9.291420765024457,6.643360995767363,0.0,0.984375,0.394345238095238,,,,DeepSeek,DeepSeek,closed_or_api,api,unknown,unknown,
deepseek_v4pro,0.7797619047619048,0.78125,0.7805059523809523,0.7127976190476191,0.8482142857142857,0.3020833333333333,,0.0,0.5342261904761906,0.6101190476190477,deepseek,deepseek-v4,pro_api,api,closed_or_hosted,large_unknown,api_aligned,pro_commercial,medium,0.9,,,,,,,,,,,,,,,DeepSeek,DeepSeek,closed_or_api,api,unknown,unknown,
gemini25_flash,0.4300595238095238,0.369047619047619,0.3995535714285714,0.119047619047619,0.6800595238095238,,,,,0.1935200216450216,gemini,gemini-2.5,flash_api,api,closed_or_hosted,large_unknown,api_aligned,fast_commercial,low,0.6,0.3995535714285714,0.4300595238095238,0.369047619047619,0.4389880952380951,0.1368393196005622,0.1935200216450216,,,,,,,,,Gemini/Gemma,Gemini/Gemma,closed_or_api,api,unknown,unknown,
gemma4_31b,,,,,,,,,,,,,,,,,,,,,0.2499999999999999,0.1666666666666666,0.3333333333333333,0.8333333333333333,0.0168358757425368,0.0238095238095238,,,,,,,,,Gemini/Gemma,Gemini/Gemma,open,local,31B,unknown,
gemma4_31b_api,0.1666666666666666,0.1666666666666666,0.1666666666666666,0.1666666666666666,,,,,,0.0535714285714285,gemma,gemma-4,large_api,api,closed_or_hosted,31b,api_aligned,general_commercial,medium,0.5,,,,,,,,,,,,,,,Gemini/Gemma,Gemini/Gemma,open,local,31B,unknown,
gemma4_e4b_base,0.5813492063492064,0.560515873015873,0.5709325396825397,1.0,0.2857142857142857,0.25,,0.0,,,gemma,gemma-4,e4b_local,local,open_weights,4b,base_or_instruct,local_small,local,0.7,0.7455357142857143,0.7738095238095237,0.7172619047619047,0.9375,0.527173359188185,,,,,,,0.7455357142857143,2.971371495705488,3.1216255850552868,Gemini/Gemma,Gemini/Gemma,open,local,4B,unknown,0.2388293195234399
gemma4_e4b_sft,0.2619047619047618,0.2385912698412697,0.2502480158730158,0.0535714285714285,0.2232142857142856,0.1458333333333333,,,,,gemma,gemma-4,e4b_local_sft,local,open_weights,4b,sft_debiased,local_small,local,0.6,,,,,,,,,,,,,,,Gemini/Gemma,Gemini/Gemma,open,local,4B,unknown,
pilot_api_sycophancy_24x4,,,,,,0.03125,,,,,,,,,,,,,,0.1,,,,,,,,,,,,,,,unknown,unknown,closed_or_api,unknown,unknown,unknown,
