model_id,model_family,dataset,method_condition,analysis_tier,n_trials,n_valid,valid_rate,moral_bias_mean,reduction_vs_standard,moral_bias_reduction_pct,bootstrap_ci_low,bootstrap_ci_high,latency_multiplier_vs_standard,token_multiplier_vs_standard,value_score
aliyun_qwen36,Qwen,exp2,debate,confirmatory_full_cell,1008,1008,1.0,0.1651785714285714,0.0729166666666666,0.3062500000000001,0.0029761904761904,0.3288690476190476,,,
aliyun_qwen36,Qwen,exp2,standard,confirmatory_full_cell,1008,1008,1.0,0.2380952380952381,0.0,0.0,0.0,0.5476190476190476,,,
aliyun_qwen36,Qwen,exp3,debate,confirmatory_full_cell,1008,1008,1.0,0.2321428571428571,0.2961309523809524,0.5605633802816903,0.1026785714285714,0.3617559523809522,,,
aliyun_qwen36,Qwen,exp3,standard,confirmatory_full_cell,1008,1008,1.0,0.5282738095238095,0.0,0.0,0.2232142857142857,0.8333333333333334,,,
deepseek_chat,DeepSeek,exp2,debate,confirmatory_full_cell,1008,1008,1.0,0.2261904761904761,0.2500000000000001,0.5250000000000002,0.1220238095238095,0.3214285714285714,,,
deepseek_chat,DeepSeek,exp2,standard,confirmatory_full_cell,1008,1008,1.0,0.4761904761904762,0.0,0.0,0.1666666666666666,0.7604166666666666,,,
deepseek_chat,DeepSeek,exp3,debate,confirmatory_full_cell,1008,1008,1.0,0.4211309523809523,0.3288690476190476,0.4384920634920635,0.2395833333333333,0.6026785714285714,,,
deepseek_chat,DeepSeek,exp3,standard,confirmatory_full_cell,1008,1008,1.0,0.75,0.0,0.0,0.4166666666666667,1.0,,,
deepseek_v4flash,DeepSeek,exp2,anti_sycophancy_truth_first,confirmatory_full_cell,1008,1008,1.0,0.3660714285714286,0.300595238095238,0.450892857142857,0.0744047619047619,0.6800967261904762,2.3985602801023664,1.160443995963673,0.1689209760812663
deepseek_v4flash,DeepSeek,exp2,debate,confirmatory_full_cell,1008,1008,1.0,0.3645833333333333,0.3020833333333333,0.453125,0.2290178571428571,0.4970610119047618,9.990496631237072,5.790110998990918,0.0382853867749285
deepseek_v4flash,DeepSeek,exp2,standard,confirmatory_full_cell,1008,1008,1.0,0.6666666666666666,0.0,0.0,0.3333333333333333,1.0,1.0,1.0,0.0
deepseek_v4flash,DeepSeek,exp3,anti_sycophancy_truth_first,confirmatory_full_cell,1008,1008,1.0,0.275297619047619,0.488095238095238,0.6393762183235867,0.0714285714285714,0.5744047619047619,2.006972483844682,1.1766004415011038,0.3066336154634958
deepseek_v4flash,DeepSeek,exp3,debate,confirmatory_full_cell,1008,1008,1.0,0.1994047619047619,0.5639880952380951,0.7387914230019492,0.1160714285714286,0.3231026785714284,9.91161235126567,6.0198675496688745,0.0708017207120867
deepseek_v4flash,DeepSeek,exp3,standard,confirmatory_full_cell,1008,1008,1.0,0.7633928571428571,0.0,0.0,0.6845238095238096,0.8705729166666667,1.0,1.0,0.0
gemini25_flash,Gemini/Gemma,exp2,debate,confirmatory_full_cell,1008,1007,0.9990079365079364,0.1427218614718615,-0.0236742424242424,-0.1988636363636363,0.0208333333333333,0.2915685876623374,,,
gemini25_flash,Gemini/Gemma,exp2,standard,confirmatory_full_cell,1008,1008,1.0,0.119047619047619,0.0,0.0,0.0178571428571428,0.2678571428571428,,,
gemini25_flash,Gemini/Gemma,exp3,debate,confirmatory_full_cell,1008,1008,1.0,0.2693452380952381,0.4107142857142857,0.6039387308533917,0.0669642857142857,0.4806547619047618,,,
gemini25_flash,Gemini/Gemma,exp3,standard,confirmatory_full_cell,1008,1008,1.0,0.6800595238095238,0.0,0.0,0.4923735119047618,0.8482142857142857,,,
gemma4_31b,Gemini/Gemma,exp2,debate,confirmatory_full_cell,1008,1008,1.0,0.1130952380952381,0.0535714285714285,0.3214285714285714,0.0104166666666666,0.2663690476190476,,,
gemma4_31b,Gemini/Gemma,exp2,standard,confirmatory_full_cell,1008,1008,1.0,0.1666666666666666,0.0,0.0,0.0,0.3333333333333333,,,
gemma4_31b,Gemini/Gemma,exp3,debate,confirmatory_full_cell,1008,1008,1.0,0.3392857142857142,-0.0059523809523809,-0.0178571428571427,0.0921875,0.6666666666666666,,,
gemma4_31b,Gemini/Gemma,exp3,standard,confirmatory_full_cell,1008,1008,1.0,0.3333333333333333,0.0,0.0,0.0833333333333333,0.6666666666666666,,,
gemma4_e4b_base,Gemini/Gemma,exp2,counterfactual_consistency_vote,confirmatory_full_cell,1008,1008,1.0,0.0,0.7767857142857143,1.0,0.0,0.0,2.9777768994575635,3.0826128722382324,0.2563484341926598
gemma4_e4b_base,Gemini/Gemma,exp2,standard,confirmatory_full_cell,1008,1008,1.0,0.7767857142857143,0.0,0.0,0.4970238095238095,1.0,1.0,1.0,0.0
gemma4_e4b_base,Gemini/Gemma,exp3,counterfactual_consistency_vote,confirmatory_full_cell,1008,1008,1.0,0.0,0.7142857142857143,1.0,0.0,0.0,2.964966091953412,3.1606382978723406,0.2332131390894581
gemma4_e4b_base,Gemini/Gemma,exp3,standard,confirmatory_full_cell,1008,1008,1.0,0.7142857142857143,0.0,0.0,0.475892857142857,0.9166666666666666,1.0,1.0,0.0
qwen3_32b_awq,Qwen,exp2,debate,confirmatory_full_cell,1008,1007,0.9990079365079364,0.275297619047619,-0.0818452380952381,-0.4230769230769233,0.1294642857142857,0.4345238095238095,,,
qwen3_32b_awq,Qwen,exp2,standard,confirmatory_full_cell,1008,1008,1.0,0.1934523809523809,0.0,0.0,0.0267857142857142,0.3869047619047618,,,
qwen3_4b_base,Qwen,exp2,counterfactual_consistency_vote,confirmatory_full_cell,1008,1008,1.0,0.0,1.0,1.0,0.0,0.0,3.1806171423985163,3.100194552529183,0.3184301802289621
qwen3_4b_base,Qwen,exp2,standard,confirmatory_full_cell,1008,1008,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0
qwen3_4b_base,Qwen,exp3,counterfactual_consistency_vote,confirmatory_full_cell,1008,1008,1.0,0.0,0.8898809523809524,1.0,0.0,0.0,2.9720585936438724,3.176470588235294,0.2894614064786725
qwen3_4b_base,Qwen,exp3,standard,confirmatory_full_cell,1008,1008,1.0,0.8898809523809524,0.0,0.0,0.6696428571428572,1.0,1.0,1.0,0.0
qwen3_8b_base,Qwen,exp2,counterfactual_consistency_vote,confirmatory_full_cell,1008,1008,1.0,0.0,0.9166666666666666,1.0,0.0,0.0,3.0621969138683203,3.100194552529183,0.2975035492844288
qwen3_8b_base,Qwen,exp2,standard,confirmatory_full_cell,1008,1008,1.0,0.9166666666666666,0.0,0.0,0.75,1.0,1.0,1.0,0.0
qwen3_8b_base,Qwen,exp3,counterfactual_consistency_vote,confirmatory_full_cell,1008,1008,1.0,0.0,1.0,1.0,0.0,0.0,3.008730354016095,3.176470588235294,0.3233524696567106
qwen3_8b_base,Qwen,exp3,standard,confirmatory_full_cell,1008,1008,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0
zhipu_glm51,GLM,exp2,standard,confirmatory_full_cell,1008,1008,1.0,0.0833333333333333,0.0,0.0,0.0,0.25,,,
zhipu_glm51,GLM,exp3,standard,confirmatory_full_cell,1008,1008,1.0,0.7797619047619048,0.0,0.0,0.4970238095238095,0.9717261904761904,,,
