model_id,dataset,bias_type,method_condition,standard_bias,method_bias,bias_reduction
aliyun_qwen36,exp2,moral_omission_bias,debate,0.32142857142857145,0.28571428571428575,0.0357142857142857
aliyun_qwen36,exp2,moral_yes_no_bias,debate,0.15476190476190477,0.04464285714285713,0.11011904761904764
aliyun_qwen36,exp3,moral_omission_bias,debate,0.5,0.2202380952380952,0.27976190476190477
aliyun_qwen36,exp3,moral_yes_no_bias,debate,0.5565476190476191,0.24404761904761907,0.3125
deepseek_chat,exp2,moral_omission_bias,debate,0.5297619047619048,0.2559523809523809,0.2738095238095239
deepseek_chat,exp2,moral_omission_bias,critique_revise,0.5297619047619048,0.24404761904761907,0.2857142857142857
deepseek_chat,exp2,moral_yes_no_bias,debate,0.4226190476190476,0.1964285714285714,0.22619047619047622
deepseek_chat,exp2,moral_yes_no_bias,critique_revise,0.4226190476190476,0.18154761904761904,0.24107142857142858
deepseek_chat,exp3,moral_omission_bias,debate,0.6666666666666666,0.4672619047619047,0.19940476190476192
deepseek_chat,exp3,moral_omission_bias,critique_revise,0.6666666666666666,0.38095238095238093,0.2857142857142857
deepseek_chat,exp3,moral_yes_no_bias,debate,0.8333333333333334,0.375,0.45833333333333337
deepseek_chat,exp3,moral_yes_no_bias,critique_revise,0.8333333333333334,0.3125,0.5208333333333334
deepseek_v4flash,exp2,moral_omission_bias,debate,0.75,0.3638392857142857,0.3861607142857143
deepseek_v4flash,exp2,moral_omission_bias,critique_revise,0.75,0.296875,0.453125
deepseek_v4flash,exp2,moral_yes_no_bias,debate,0.75,0.24553571428571427,0.5044642857142857
deepseek_v4flash,exp2,moral_yes_no_bias,critique_revise,0.75,0.40625,0.34375
deepseek_v4flash,exp3,moral_omission_bias,debate,0.6755952380952381,0.16369047619047614,0.511904761904762
deepseek_v4flash,exp3,moral_omission_bias,critique_revise,0.6755952380952381,0.3363095238095237,0.3392857142857144
deepseek_v4flash,exp3,moral_yes_no_bias,debate,0.8511904761904763,0.2351190476190476,0.6160714285714287
deepseek_v4flash,exp3,moral_yes_no_bias,critique_revise,0.8511904761904763,0.31845238095238093,0.5327380952380953
deepseek_v4pro,exp2,moral_omission_bias,debate,0.7142857142857143,0.0595238095238095,0.6547619047619048
deepseek_v4pro,exp2,moral_omission_bias,critique_revise,0.7142857142857143,0.14138148728665967,0.5729042269990546
deepseek_v4pro,exp2,moral_yes_no_bias,debate,0.7276785714285715,0.20982142857142858,0.5178571428571429
deepseek_v4pro,exp2,moral_yes_no_bias,critique_revise,0.7276785714285715,0.3069596830372692,0.4207188883913023
deepseek_v4pro,exp3,moral_omission_bias,debate,0.8377976190476191,0.23958333333333334,0.5982142857142857
deepseek_v4pro,exp3,moral_omission_bias,critique_revise,0.8377976190476191,0.3110119047619047,0.5267857142857144
deepseek_v4pro,exp3,moral_yes_no_bias,debate,0.8854166666666666,0.28124999999999994,0.6041666666666667
deepseek_v4pro,exp3,moral_yes_no_bias,critique_revise,0.8854166666666666,0.15178571428571425,0.7336309523809523
gemini25_flash,exp2,moral_omission_bias,debate,0.2023809523809524,0.10714285714285719,0.09523809523809522
gemini25_flash,exp2,moral_yes_no_bias,debate,0.03571428571428572,0.17830086580086577,-0.14258658008658004
gemini25_flash,exp3,moral_omission_bias,debate,0.5357142857142857,0.25,0.2857142857142857
gemini25_flash,exp3,moral_yes_no_bias,debate,0.8244047619047619,0.2886904761904762,0.5357142857142856
gemma4_31b_api,exp2,moral_omission_bias,debate,0.16666666666666666,0.2142857142857143,-0.047619047619047644
gemma4_31b_api,exp2,moral_yes_no_bias,debate,0.16666666666666666,0.011904761904761899,0.15476190476190477
qwen3_32b_local,exp2,moral_omission_bias,debate,0.026785714285714284,0.22321428571428567,-0.1964285714285714
qwen3_32b_local,exp2,moral_yes_no_bias,debate,0.3601190476190476,0.32738095238095233,0.03273809523809529
qwen3_4b_base,exp2,moral_omission_bias,debate,1.0,0.25,0.75
qwen3_4b_base,exp2,moral_yes_no_bias,debate,1.0,0.25,0.75
qwen3_4b_base,exp3,moral_omission_bias,debate,1.0,0.5,0.5
qwen3_4b_base,exp3,moral_yes_no_bias,debate,1.0,0.5,0.5
qwen3_4b_base,generated_moral,moral_omission_bias,debate,0.5,0.375,0.125
qwen3_4b_base,generated_moral,moral_yes_no_bias,debate,0.3333333333333333,0.375,-0.041666666666666685
zhipu_glm51,exp2,moral_omission_bias,debate,0.16666666666666666,0.3333333333333333,-0.16666666666666666
zhipu_glm51,exp2,moral_yes_no_bias,debate,0.0,0.2,-0.2
zhipu_glm51,exp3,moral_omission_bias,debate,0.8333333333333334,0.4168539570700444,0.41647937626328896
zhipu_glm51,exp3,moral_yes_no_bias,debate,0.7261904761904762,0.5039897073106782,0.222200768879798
